experiment_name,version,attack,0,0,mean_score,mean_score
,,,mean,std,mean,std
Experiment C,Prior Solution Not Mentioned,antonym_replacement,3.1481481481481484,0.12830005981991688,3.1481481481481484,0.12830005981991688
Experiment C,Prior Solution Not Mentioned,caesar_cipher,3.2592592592592595,0.23129622216290355,3.2592592592592595,0.23129622216290355
Experiment C,Prior Solution Not Mentioned,change_character_names,3.074074074074074,0.12830005981991688,3.074074074074074,0.12830005981991688
Experiment C,Prior Solution Not Mentioned,context_removal,2.888888888888889,0.0,2.888888888888889,0.0
Experiment C,Prior Solution Not Mentioned,control,3.0,0.0,3.0,0.0
Experiment C,Prior Solution Not Mentioned,distraction_insertion,3.2222222222222228,0.0,3.2222222222222228,0.0
Experiment C,Prior Solution Not Mentioned,introduce_typos,3.3333333333333335,0.11111111111111116,3.3333333333333335,0.11111111111111116
Experiment C,Prior Solution Not Mentioned,shuffle_sentences,3.8518518518518516,0.16972502573910517,3.8518518518518516,0.16972502573910517
Experiment C,Prior Solution Not Mentioned,swap_words,2.6666666666666665,0.19245008972987546,2.6666666666666665,0.19245008972987546
Experiment C,Prior Solution Not Mentioned,synonym_replacement,3.074074074074074,0.12830005981991688,3.074074074074074,0.12830005981991688
Experiment C,Prior Solution Not Mentioned,word_swap_embedding,2.888888888888889,0.19245008972987535,2.888888888888889,0.19245008972987535
Experiment C,Prior Solution Not Mentioned,word_swap_homoglyph,3.0370370370370368,0.06415002990995826,3.0370370370370368,0.06415002990995826
